MONATSZAHL;AUSPRAEGUNG;JAHR;MONAT;WERT;VORJAHRESWERT;VERAEND_VORMONAT_PROZENT;VERAEND_VORJAHRESMONAT_PROZENT;ZWOELF_MONATE_MITTELWERT
Alkoholunfälle;insgesamt;2021;202101;;28;;;
Alkoholunfälle;insgesamt;2021;202102;;40;;;
Alkoholunfälle;insgesamt;2021;202103;;27;;;
Alkoholunfälle;insgesamt;2021;202104;;26;;;
Alkoholunfälle;insgesamt;2021;202105;;40;;;
Alkoholunfälle;insgesamt;2021;202106;;49;;;
Alkoholunfälle;insgesamt;2021;202107;;58;;;
Alkoholunfälle;insgesamt;2021;202108;;46;;;
Alkoholunfälle;insgesamt;2021;202109;;46;;;
Alkoholunfälle;insgesamt;2021;202110;;34;;;
Alkoholunfälle;insgesamt;2021;202111;;23;;;
Alkoholunfälle;insgesamt;2021;202112;;13;;;
Alkoholunfälle;insgesamt;2020;Summe;430;434;;-92;
Alkoholunfälle;insgesamt;2020;202001;28;22;-20;2727;37
Alkoholunfälle;insgesamt;2020;202002;40;28;4286;4286;38
Alkoholunfälle;insgesamt;2020;202003;27;34;-325;-2059;37
Alkoholunfälle;insgesamt;2020;202004;26;36;-37;-2778;36
Alkoholunfälle;insgesamt;2020;202005;40;39;5385;256;36
Alkoholunfälle;insgesamt;2020;202006;49;40;225;225;37
Alkoholunfälle;insgesamt;2020;202007;58;48;1837;2083;38
Alkoholunfälle;insgesamt;2020;202008;46;31;-2069;4839;39
Alkoholunfälle;insgesamt;2020;202009;46;47;0;-213;39
Alkoholunfälle;insgesamt;2020;202010;34;45;-2609;-2444;38
Alkoholunfälle;insgesamt;2020;202011;23;29;-3235;-2069;38
Alkoholunfälle;insgesamt;2020;202012;13;35;-4348;-6286;36
Alkoholunfälle;insgesamt;2019;Summe;434;398;;905;
Alkoholunfälle;insgesamt;2019;201901;22;22;476;0;33
Alkoholunfälle;insgesamt;2019;201902;28;24;2727;1667;34
Alkoholunfälle;insgesamt;2019;201903;34;32;2143;625;34
Alkoholunfälle;insgesamt;2019;201904;36;25;588;44;35
Alkoholunfälle;insgesamt;2019;201905;39;34;833;1471;35
Alkoholunfälle;insgesamt;2019;201906;40;39;256;256;35
Alkoholunfälle;insgesamt;2019;201907;48;51;20;-588;35
Alkoholunfälle;insgesamt;2019;201908;31;40;-3542;-225;34
Alkoholunfälle;insgesamt;2019;201909;47;36;5161;3056;35
Alkoholunfälle;insgesamt;2019;201910;45;43;-426;465;35
Alkoholunfälle;insgesamt;2019;201911;29;31;-3556;-645;35
Alkoholunfälle;insgesamt;2019;201912;35;21;2069;6667;36
Alkoholunfälle;insgesamt;2018;Summe;398;409;;-269;
Alkoholunfälle;insgesamt;2018;201801;22;19;-4762;1579;34
Alkoholunfälle;insgesamt;2018;201802;24;22;909;909;35
Alkoholunfälle;insgesamt;2018;201803;32;36;3333;-1111;34
Alkoholunfälle;insgesamt;2018;201804;25;26;-2188;-385;34
Alkoholunfälle;insgesamt;2018;201805;34;29;36;1724;35
Alkoholunfälle;insgesamt;2018;201806;39;41;1471;-488;34
Alkoholunfälle;insgesamt;2018;201807;51;52;3077;-192;34
